commit_sha,file_path,change_type,old_file_path,new_file_path,insertions,deletions
bc8859ee741ee10005a574d0b3e4c546d95a94e8,Documentatie en diagrammen/CodeDiagramFrontend.drawio.png,A,Documentatie en diagrammen/CodeDiagramFrontend.drawio.png,Documentatie en diagrammen/CodeDiagramFrontend.drawio.png,0,0
bc8859ee741ee10005a574d0b3e4c546d95a94e8,Documentatie en diagrammen/UML_classdiagram/.$ClassDiagram4.0.drawio.bkp,A,Documentatie en diagrammen/UML_classdiagram/.$ClassDiagram4.0.drawio.bkp,Documentatie en diagrammen/UML_classdiagram/.$ClassDiagram4.0.drawio.bkp,1344,0
bc8859ee741ee10005a574d0b3e4c546d95a94e8,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.drawio,A,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.drawio,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.drawio,1344,0
bc8859ee741ee10005a574d0b3e4c546d95a94e8,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.drawio.png,A,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.drawio.png,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.drawio.png,0,0
bc8859ee741ee10005a574d0b3e4c546d95a94e8,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.drawio.svg,A,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.drawio.svg,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.drawio.svg,4,0
bc8859ee741ee10005a574d0b3e4c546d95a94e8,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.jpg,A,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.jpg,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.jpg,0,0
bc8859ee741ee10005a574d0b3e4c546d95a94e8,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.webp,A,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.webp,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.webp,0,0
bc8859ee741ee10005a574d0b3e4c546d95a94e8,README.md,D,README.md,README.md,0,14
bc8859ee741ee10005a574d0b3e4c546d95a94e8,documentation/C4/.$mainApiLayer3.drawio.bkp,D,documentation/C4/.$mainApiLayer3.drawio.bkp,documentation/C4/.$mainApiLayer3.drawio.bkp,0,185
bc8859ee741ee10005a574d0b3e4c546d95a94e8,documentation/C4/mainApiLayer3.drawio,D,documentation/C4/mainApiLayer3.drawio,documentation/C4/mainApiLayer3.drawio,0,185
bc8859ee741ee10005a574d0b3e4c546d95a94e8,documentation/C4/mainApiLayer3.png,D,documentation/C4/mainApiLayer3.png,documentation/C4/mainApiLayer3.png,0,0
bc8859ee741ee10005a574d0b3e4c546d95a94e8,templates/json_template.json,D,templates/json_template.json,templates/json_template.json,0,30
bc8859ee741ee10005a574d0b3e4c546d95a94e8,templates/json_template_no_data.json,D,templates/json_template_no_data.json,templates/json_template_no_data.json,0,1
9ea87313e07e5487d3785b164fa4a92c2bd6462c,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.drawio.png,M,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.drawio.png,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.drawio.png,0,0
9ea87313e07e5487d3785b164fa4a92c2bd6462c,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.drawio.svg,M,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.drawio.svg,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.drawio.svg,1,1
9ea87313e07e5487d3785b164fa4a92c2bd6462c,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.jpg,M,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.jpg,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.jpg,0,0
9ea87313e07e5487d3785b164fa4a92c2bd6462c,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.webp,M,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.webp,Documentatie en diagrammen/UML_classdiagram/ClassDiagram4.0.webp,0,0
